treeID,Z,npoints,convhull_area,area,perimeter
7219,12.74,6,0.081,0.081350000022212,2.0110421511015
7220,12.74,6,0.457,0.457400000013877,4.91300308963282
7221,12.74,6,0.399,0.398950000031618,2.8342448358306
7222,12.74,5,0.193,0.192650000011781,1.94664606632314
7223,12.74,5,0.374,0.373800000030315,2.90334314891305
7224,12.74,5,0.279,0.279449999987264,2.46850667351425
7225,12.74,11,1.283,1.28304999999818,4.90714823781627
7226,12.74,6,0.391,0.391049999947427,2.52209322549922
7227,12.74,4,0.26,0.25989999997546,2.85888074995318
7228,12.73,6,0.611,0.610999999858905,4.07346257818476
7229,12.73,6,0.586,0.586400000087451,3.21822139286441
7230,12.73,19,1.776,1.77560000002268,5.90632146073412
7231,12.73,15,3.632,3.63235000008717,8.07188795154654
7232,12.73,14,1.387,1.38679999996384,6.46453342703404
7233,12.73,13,1.044,1.04389999993145,4.43799097659206
7235,12.73,9,0.677,0.677349999925354,3.27052852698391
7236,12.73,15,2.927,2.9272000000492,6.95718098075432
7237,12.72,7,0.477,0.476799999945797,3.12776276843352
7238,12.72,5,0.095,0.0952500000130385,1.89836087718009
7239,12.72,23,3.572,3.57210000004852,9.04427119371053
7240,12.72,4,0.193,0.193199999950593,2.00028217277436
7241,12.72,41,5.425,5.42544999986421,10.7775820665502
7242,12.72,6,0.333,0.333350000000792,2.4747301776886
7243,12.72,13,1.707,1.70675000012852,5.93557722038606
7244,12.72,26,4.586,4.58569999993779,10.3900640275335
7245,12.72,14,3.384,3.38430000003427,8.03665851642199
7247,12.71,4,0.228,0.227649999993446,3.04679248016144
7249,12.71,5,0.227,0.226500000033411,2.01727822044472
7250,12.71,4,0.199,0.198600000032457,3.53258213773383
7251,12.71,30,2.383,2.38254999963101,7.39682475208607
7252,12.71,8,1.163,1.1625500000082,4.65671643199506
7253,12.71,19,4.009,4.0087999998359,8.0690412693295
7254,12.71,5,0.195,0.194650000019465,1.85294909106997
7255,12.71,13,1.738,1.73810000007506,5.6318561063162
7257,12.71,6,0.525,0.525299999979325,3.09749261485275
7258,12.71,8,0.633,0.63290000006964,4.82978480488236
7259,12.71,7,0.923,0.923199999990175,4.25715603836125
7260,12.7,17,1.556,1.5557999999146,5.70081256235508
7261,12.7,22,3.145,3.14465000003111,9.54716995932136
7262,12.7,6,0.713,0.712599999969825,4.19611908537361
7264,12.7,4,0.389,0.389349999983096,2.86185229227071
7265,12.7,24,5.655,5.65450000017881,11.1331955188702
7266,12.7,10,1.081,1.08104999992065,5.0940097734023
7267,12.7,26,2.909,2.90925000008428,6.81210433751531
7268,12.7,5,0.131,0.130799999984447,1.80970230303309
7269,12.7,9,0.472,0.471900000062305,3.35711041672344
7270,12.7,19,2.08,2.07984999986365,6.0853126477709
7271,12.7,24,3.746,3.74604999998701,9.74885273874166
7272,12.7,7,0.323,0.323450000054436,2.70992237812737
7273,12.69,24,2.178,2.17839999988792,7.85829717002357
7274,12.69,6,0.44,0.44039999996312,2.60871229111273
7275,12.69,21,22.457,22.4570000004023,25.5886667344645
7276,12.69,16,1.032,1.03219999995781,4.31046935939616
7277,12.69,9,0.903,0.902549999969779,4.045756719769
7278,12.69,12,2.54,2.54019999998854,6.39248443007551
7280,12.69,6,0.354,0.35450000007404,2.49068537580437
7281,12.68,8,0.746,0.746099999960279,3.36103351800187
7282,12.68,4,0.271,0.271299999993062,2.31565281708446
7283,12.68,10,1.172,1.1716000000597,5.45011816587817
7284,12.68,7,0.671,0.670749999990221,3.16862594844413
7285,12.68,5,0.334,0.334149999995134,2.51594055009938
7286,12.68,12,0.631,0.630599999945844,3.36673270164154
7287,12.68,30,2.777,2.77659999975003,10.862003958092
7288,12.67,22,3.623,3.62249999993946,10.5541791962998
7289,12.67,4,0.053,0.052800000004936,1.47499382013978
7290,12.67,5,0.148,0.148349999995844,1.95563851775193
7291,12.67,17,3.956,3.95614999986719,8.27882430151971
7292,12.67,13,1.827,1.82709999993676,5.60224408292613
7293,12.67,26,1.907,1.90734999987762,6.28550578187307
7294,12.67,11,1.87,1.86975000009988,5.67291158116515
7296,12.66,14,3.648,3.64754999993602,7.97999202149899
7298,12.66,5,0.846,0.846450000040932,3.65615176326487
7299,12.66,9,0.984,0.984050000115531,4.39655331406706
7300,12.66,13,3.455,3.45489999977872,8.57861350864136
7301,12.66,33,7.313,7.31345000007423,12.7420999392844
7302,12.66,7,0.241,0.241500000011001,2.45919312580054
7303,12.66,15,2.458,2.45799999978044,7.17500772132098
7304,12.66,17,3.739,3.73924999986775,8.62618175337744
7305,12.65,9,0.563,0.563300000008894,3.21913907338668
7306,12.65,7,0.521,0.520850000029895,2.96305780909415
7307,12.65,9,0.768,0.767749999999069,3.8812140087598
7308,12.65,11,1.082,1.08239999998477,4.55217513247551
7309,12.65,6,0.811,0.810649999970337,3.70561539400902
7311,12.65,15,0.907,0.90734999999404,3.72133783488144
