"","treeID","V1","coords.x1","coords.x2","coords.x3","optional"
"2194",2337,17.78,574052.14,300407.13,17.78,TRUE
"2195",2338,17.77,574111.14,300317.53,17.77,TRUE
"2196",2339,17.77,574105.53,300358.72,17.77,TRUE
"2197",2340,17.77,574128.92,300314.42,17.77,TRUE
"2198",2341,17.76,574125.2,300275.3,17.76,TRUE
"2199",2342,17.76,574047.96,300351.95,17.76,TRUE
"2200",2344,17.76,574132.25,300329.79,17.76,TRUE
"2201",2345,17.76,574166.68,300417.72,17.76,TRUE
"2202",2347,17.75,574099.25,300342.42,17.75,TRUE
"2203",2348,17.75,574120.11,300427.29,17.75,TRUE
"2204",2349,17.75,574162.12,300325.17,17.75,TRUE
"2205",2350,17.75,574134.33,300294.84,17.75,TRUE
"2206",2351,17.75,574041.38,300344.99,17.75,TRUE
"2207",2352,17.74,574140.14,300424.1,17.74,TRUE
"2208",2353,17.74,574162.17,300366.01,17.74,TRUE
"2209",2354,17.74,574015.58,300377.9,17.74,TRUE
"2210",2355,17.74,574185.5,300373.52,17.74,TRUE
"2211",2356,17.73,574131.79,300290.65,17.73,TRUE
"2212",2357,17.73,573997.88,300348.56,17.73,TRUE
"2213",2358,17.73,574125.05,300348.38,17.73,TRUE
"2214",2359,17.73,574153.83,300348.97,17.73,TRUE
"2215",2360,17.73,574084.05,300324.18,17.73,TRUE
"2216",2361,17.72,574178.87,300346.04,17.72,TRUE
"2217",2362,17.72,574118.37,300382.71,17.72,TRUE
"2218",2363,17.72,574097.19,300324.87,17.72,TRUE
"2219",2364,17.72,574082.96,300349.07,17.72,TRUE
"2220",2365,17.71,574169.4,300416.03,17.71,TRUE
"2221",2366,17.71,574121.9,300429.44,17.71,TRUE
"2222",2367,17.71,574157.99,300312.29,17.71,TRUE
"2223",2368,17.7,574130.24,300331.16,17.7,TRUE
"2224",2369,17.7,574174.42,300355.47,17.7,TRUE
"2225",2370,17.7,574034.66,300345.95,17.7,TRUE
"2226",2371,17.7,574079.39,300325.37,17.7,TRUE
"2227",2372,17.69,574130.68,300362.6,17.69,TRUE
"2228",2373,17.69,574132.89,300381.16,17.69,TRUE
"2229",2374,17.69,574056.96,300341.64,17.69,TRUE
"2230",2375,17.69,574086.91,300337.91,17.69,TRUE
"2231",2376,17.69,574135.16,300305.8,17.69,TRUE
"2232",2377,17.69,574183.57,300387.95,17.69,TRUE
"2233",2378,17.69,574055.45,300426.89,17.69,TRUE
"2234",2379,17.69,574101.34,300357.25,17.69,TRUE
"2235",2380,17.69,574137.37,300321.77,17.69,TRUE
"2236",2381,17.68,574035.95,300361.75,17.68,TRUE
"2237",2382,17.68,574068.91,300433.99,17.68,TRUE
"2238",2383,17.68,574080.24,300327.09,17.68,TRUE
"2239",2384,17.68,574146.34,300292.68,17.68,TRUE
"2240",2385,17.67,574187.23,300372.08,17.67,TRUE
"2241",2386,17.67,574133.3,300425.51,17.67,TRUE
"2242",2387,17.66,574124.14,300340.98,17.66,TRUE
"2243",2388,17.65,574152.83,300413.95,17.65,TRUE
"2244",2389,17.65,574089.99,300438.96,17.65,TRUE
"2245",2390,17.65,574184.22,300405.18,17.65,TRUE
"2246",2391,17.65,574041.64,300417.53,17.65,TRUE
"2247",2392,17.64,574124.94,300356.34,17.64,TRUE
"2248",2393,17.64,574084.8,300451.79,17.64,TRUE
"2249",2394,17.64,574025.05,300389.94,17.64,TRUE
"2250",2395,17.64,574165.23,300338.13,17.64,TRUE
