treeID,Z,npoints,convhull_area,area,perimeter
5090,12.4577,247,1.966,1.96573178490507,5.62589607464679
5156,12.3953,1040,40.962,40.9622137420811,28.3161547137354
5158,12.3947,616,4.046,4.04596280498663,8.06142056536859
5169,12.3836,1026,31.013,31.0129015896237,21.9809148885676
5176,12.3789,342,4.217,4.21741765501793,7.64769305697271
5179,12.3746,312,5.232,5.23168516979786,8.67927072929205
5228,12.3087,87,1.735,1.73514748507296,5.00382602136026
5236,12.2903,85,0.451,0.45108389496454,2.67512411971677
5244,12.2824,793,10.312,10.3120261800941,12.3826830493811
5251,12.2779,1535,21.212,21.21188625996,17.592156468446
