"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer_2","avg_area_conifer_2","max_perimeter_conifer_2","avg_perimeter_conifer_2","crown_diameter_hull_conifer_2","AGB_conifer_2"
93,22.22,9,1.439,1.43914999987464,6.72757010823473,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.72757010823473,942.553603279406
94,22.22,5,1.04,1.03995000006398,4.59253800189202,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.59253800189202,475.898417088566
95,22.22,16,4.867,4.86709999979939,10.7408399887927,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,10.7408399887927,2177.70116754983
96,22.21,17,4.137,4.13665000000037,10.6126053922031,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,10.6126053922031,2129.6649989419
97,22.2,5,0.19,0.189599999954225,2.92457028583625,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,2.92457028583625,211.831666022195
98,22.2,8,1.861,1.86094999988563,5.57126564225089,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.57126564225089,671.424539158554
99,22.2,13,2.828,2.82755000016186,8.86448131496059,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.86448131496059,1541.83978409604
101,22.19,15,3.809,3.80850000010105,7.55135374537566,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,7.55135374537566,1156.25588211193
102,22.19,17,3.383,3.38340000010794,7.24500345434898,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,7.24500345434898,1073.63985303849
103,22.18,13,4.123,4.12309999996796,7.78667344727471,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,7.78667344727471,1220.56000835082
104,22.18,8,0.737,0.737399999925401,4.02625329438115,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.02625329438115,374.81078687079
105,22.18,5,0.427,0.427250000095228,2.84216352994784,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,2.84216352994784,200.9421043365
106,22.16,11,2.247,2.24710000009509,6.37537596556887,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.37537596556887,851.928626069823
108,22.13,4,0.057,0.0570999999927153,1.15597009203974,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,1.15597009203974,39.9907091705847
109,22.13,13,3.893,3.89309999987017,9.0733092270454,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,9.0733092270454,1598.39944649085
