"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer_drone","avg_area_conifer_drone","max_perimeter_conifer_drone","avg_perimeter_conifer_drone","crown_diameter_hull_conifer_drone","AGB_conifer_drone"
7793,0,5329,88.055,88.0554654041771,36.0370556501264,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,36.0370556501264,0
7809,8.6978,44,0.847,0.847475104907062,4.2494605388788,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,4.2494605388788,77.2730980496831
7823,8.6539,342,3.924,3.92425666008785,7.6187736881474,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.6187736881474,217.746657582921
7845,8.6093,908,30.095,30.0951340298634,27.6687437350392,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,27.6687437350392,2170.30864447982
7895,8.4718,62,1.815,1.81484158511739,5.99035544530423,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,5.99035544530423,136.296466989561
7920,0,37,0.515,0.514969630006817,2.80964113286224,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,2.80964113286224,0
7925,0,289,5.518,5.51766787018278,10.6485817679194,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,10.6485817679194,0
7943,8.3284,1024,20.863,20.8626505397551,17.450117926925,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.450117926925,896.173835595188
7962,8.2926,1614,14.481,14.4813206943218,15.2668383771471,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,15.2668383771471,700.059980934212
7966,8.288,164,2.274,2.27353638992645,5.79698574744119,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,5.79698574744119,123.573401077555
7969,8.282,80,0.694,0.693640900048194,3.34520158635677,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,3.34520158635677,46.1260139229971
7970,8.277,960,9.961,9.96101207513129,12.886556924824,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,12.886556924824,515.116663573415
7971,8.2729,5301,77.46,77.4598001991399,34.9488091687442,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,34.9488091687442,3069.86548326823
7985,8.2306,787,9.497,9.4974705100758,11.6108635408663,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,11.6108635408663,423.153399909053
7991,8.2172,1261,16.808,16.8083448102698,16.7703360294567,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,16.7703360294567,814.80451764488
8003,0,472,14.518,14.5177695048042,17.090094288334,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.090094288334,0
8068,8.0356,181,4.149,4.14902087452356,8.29344353262019,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,8.29344353262019,221.96586740206
8096,7.9462,244,1.729,1.72865721012931,5.65626681330562,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,5.65626681330562,109.668512611745
8098,7.9428,537,31.954,31.9537636102177,26.320557864186,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,26.320557864186,1718.10209760008
8105,7.9065,401,6.554,6.55406145495363,9.95119847465601,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,9.95119847465601,298.783604485458
8117,7.8784,19473,312.97,312.970401124912,62.7467997642881,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,62.746799764288,8018.27527879831
8123,7.8627,832,19.799,19.7988016194431,17.0758845010251,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.0758845010251,777.691336495269
8131,7.8434,793,12.606,12.605777544959,13.3057339160176,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,13.3057339160176,495.404890208564
8140,0,4100,70.125,70.1250928452937,33.2421557486967,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,33.2421557486967,0
8148,7.7741,1598,21.66,21.6604126150487,17.4808006228984,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.4808006228984,794.724215263247
8178,7.7243,394,2.47,2.46977310505463,6.16910295659899,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,6.16910295659899,121.768014569563
8185,7.715,1126,18.108,18.1079963343218,16.9720252954626,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,16.9720252954626,743.571182193986
8193,7.7034,418,6.371,6.37055785499979,9.54747306592731,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,9.54747306592731,264.807242937377
8233,7.5973,139,1.167,1.16655768011697,4.24109022042046,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,4.24109022042046,60.4411632025628
8235,7.5953,602,14.712,14.7116923501017,14.651944213354,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,14.651944213354,555.77102664791
8236,7.5926,3437,73.077,73.0767050180584,34.3063400069452,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,34.3063400069452,2546.75489831349
8247,7.5648,223,2.757,2.75743220489676,6.61065791010082,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,6.61065791010082,132.755763554007
8263,7.5322,415,4.485,4.48548735993973,8.68482998584708,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,8.68482998584708,214.704342643479
8266,7.5202,574,4.032,4.03167462500278,8.19249804653854,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,8.19249804653854,192.856301732242
8267,7.5199,315,2.546,2.54550447013753,6.94143437280465,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,6.94143437280465,143.34470953509
8278,0,52,1.361,1.36073133017635,5.33984951781786,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,5.33984951781786,0
8288,0,1483,56.082,56.082277353853,29.4444682070576,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,29.4444682070576,0
8291,7.4446,93,2.128,2.12822278987733,5.77844862876846,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,5.77844862876846,101.392577337788
8300,7.4264,827,4.629,4.62907301491941,8.46104063021853,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,8.46104063021853,199.778963583936
8314,7.3804,839,11.084,11.0841911803,13.5669355203721,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,13.5669355203721,460.016424350293
8332,7.3194,314,8.984,8.98388693513698,11.6335543605285,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,11.6335543605285,344.194807959835
8337,7.3036,345,4.202,4.20179113501217,7.72288091698038,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.72288091698038,164.673673664757
8394,0,15,3.425,3.42534691048786,17.3158107081615,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.3158107081615,0
8398,7.1476,231,2.858,2.85844665503828,7.24088588206848,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.24088588206848,141.169846578375
8406,7.1078,102,1.242,1.24215784997796,4.27704521531498,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,4.27704521531498,54.4654940160198
8432,7.0566,129,1.285,1.28542739502154,4.68835217051404,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,4.68835217051404,63.3694760060359
8436,7.0446,3062,19.785,19.7850558898208,17.8143503545631,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.8143503545631,689.142590748589
8437,0,317,9.641,9.64060805481859,15.5524449689238,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,15.5524449689238,0
8447,7.0229,809,49.332,49.332117165206,30.1203953470998,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,30.1203953470998,1754.66036979116
