treeID,Z,npoints,convhull_area,area,perimeter,crown_diameter_hull_deciduous_drone
5679,11.8813,2287,16.842,16.8423047298566,16.4000022837822,16.4000022837822
5680,11.8806,2084,9.191,9.1909534050501,11.5565246622609,11.5565246622609
5681,11.8796,217,3.011,3.01059807502315,7.21944593545226,7.21944593545226
5682,11.8794,131,1.665,1.66470100532752,6.64991257088432,6.64991257088432
5683,11.8791,6605,40.099,40.0991491498426,24.4113002491107,24.4113002491107
5684,11.8781,249,3.2,3.20046610501595,7.47050793261093,7.47050793261093
5685,11.8755,73,1.007,1.00653246004367,5.3597914391563,5.3597914391563
5686,11.8752,143,8.576,8.57569979084656,21.9947919311668,21.9947919311668
5687,11.8743,411,7.308,7.30845992034301,10.1455652049931,10.1455652049931
5688,11.8741,609,10.73,10.730242835074,13.2414693027766,13.2414693027766
5689,11.8739,615,5.944,5.94350509022479,10.4330506403349,10.4330506403349
5690,11.8727,1072,4.396,4.39589822501875,8.29011659667743,8.29011659667743
5691,11.8723,188,2.302,2.30229219494504,6.01949432201277,6.01949432201277
5692,11.8714,4213,6.473,6.47347975545563,10.3120595953093,10.3120595953093
5693,11.8692,698,4.276,4.27636786492076,7.95960878979081,7.95960878979081
5694,11.8645,901,61.241,61.240955805406,32.6235360121294,32.6235360121294
5695,11.864,1271,32.253,32.2529511053581,26.3351064582691,26.3351064582691
5696,11.864,1596,19.133,19.1326689298148,17.415506494961,17.415506494961
5697,11.862,78,0.514,0.513846790083335,2.84500591737165,2.84500591737165
5698,11.8606,5955,20.351,20.3510251156986,18.1144820479406,18.1144820479406
5700,11.8604,849,36.364,36.3636486008763,27.1489220934331,27.1489220934331
5701,11.8597,189,1.679,1.67947576014558,4.80963477552142,4.80963477552142
5702,11.8595,190,3.43,3.43001631496008,8.17135589860137,8.17135589860137
5703,11.8573,567,4.007,4.00707350031007,8.31499317922732,8.31499317922732
5704,11.8568,642,8.839,8.83899229526287,12.0505977255093,12.0505977255093
5705,11.8562,220,3.173,3.17349233003915,6.61905526611841,6.61905526611841
5706,11.8555,177,1.501,1.50084096504725,4.83850037300367,4.83850037300367
5707,11.8555,102,1.245,1.24505510000745,4.41145661371246,4.41145661371246
5708,11.8553,59,0.897,0.897494020115118,3.69562563437643,3.69562563437643
5709,11.855,325,4.42,4.42035740491701,8.08981974407324,8.08981974407324
5710,11.8526,569,7.374,7.37395890528569,10.0552553739212,10.0552553739212
5711,11.8522,2085,6.304,6.30366208497435,9.59538475205478,9.59538475205478
5712,11.8519,586,4.117,4.11710937973112,9.16408347143945,9.16408347143945
5713,11.8516,1569,38.993,38.9927842612378,26.7550269394512,26.7550269394512
5714,11.8513,817,6.485,6.48536917002639,9.6914064397478,9.6914064397478
5715,11.8472,1260,13.718,13.7178512254031,14.7271450788099,14.7271450788099
5717,11.8452,800,22.208,22.2082679299638,26.5701951388125,26.5701951388125
